"id","id_subj","round","session","period","id_grp","grp","time","time_start","duration","links","payoff"
"193","2040","5","21","1","7","1","1572447679","1572447495","313","[9,2,10,5,1,6,8]","22.7"
"194","2012","5","21","1","5","4","1572447687","1572447495","313","[8,2,10]","21.5"
"195","2008","5","21","1","3","3","1572447679","1572447495","313","[2,7,9,6,10,5]","15.9"
"196","2006","5","21","1","9","3","1572447687","1572447495","313","[5,8,10,3,4,1,2,6]","43.8"
"197","2035","5","21","1","4","1","1572447661","1572447495","313","[7,1,8,6,5,3]","19.4"
"198","2001","5","21","1","2","4","1572447648","1572447495","313","[7,4,5,6,10,3,8,1,9]","47"
"199","2032","5","21","1","8","1","1572447685","1572447495","313","[6,5]","31.5"
"200","2007","5","21","1","6","4","1572447685","1572447495","313","[2,4]","17.4"
"201","2023","6","21","1","1","4","1572448025","1572447902","192","[10,7,8,4,2,6]","32.1"
"202","2018","6","21","1","4","1","1572448040","1572447902","192","[5,7,9,3,10]","13"
"203","2024","6","21","1","5","3","1572448044","1572447902","192","[4,9,1,3]","11.3"
"204","2019","6","21","1","8","2","1572447905","1572447902","192","[6]","21.2"
"205","2037","6","21","1","2","2","1572448042","1572447902","192","[8,4,10,5]","19"
"206","2004","6","21","1","10","1","1572448042","1572447902","192","[5,1,3]","22"
"207","2040","6","21","1","7","1","1572447996","1572447902","192","[5,10,6,3,4,8,1,2,9]","28.3"
"208","2002","6","21","1","3","1","1572448024","1572447902","192","[5,10,1,6,4,7,9,2,8]","27"
"209","2036","6","21","1","7","2","1572448039","1572447902","192","[6,2,3,8,9,1,5]","15.3"
"210","2034","6","21","1","5","1","1572448043","1572447902","192","[2,9]","15.7"
"211","2038","6","21","1","7","4","1572448035","1572447902","192","[4,10,2,1,9,8,6]","16.6"
"212","2003","6","21","1","6","3","1572448044","1572447902","192","[3,5,7,8,1]","8.5"
"213","2009","6","21","1","3","3","1572448036","1572447902","192","[5,2,7,6,8,1,4]","9.2"
"214","2026","6","21","1","4","4","1572447950","1572447902","192","[1,10,5,3,9,8,7,2,6]","52.5"
"215","2013","6","21","1","6","4","1572448036","1572447902","192","[8,2,9,5]","16.5"
"216","2005","6","21","1","6","2","1572447977","1572447902","192","[1,4,3,5,10,9,2,8,7]","45.4"
"217","2017","6","21","1","10","2","1572448042","1572447902","192","[8,9,2,6]","26.9"
"218","2029","6","21","1","10","3","1572448042","1572447902","192","[7,1,2,9,4,3]","11.1"
"219","2015","6","21","1","9","1","1572448044","1572447902","192","[6,1,10,8,4,5,2,3]","8"
"220","2028","6","21","1","1","1","1572447911","1572447902","192","[7]","19.5"
"221","2020","6","21","1","6","1","1572448044","1572447902","192","[1,5,9,10,8,3]","10.2"
"222","2006","6","21","1","8","3","1572448038","1572447902","192","[5,4,3,1,7,10,9,6]","14.1"
"223","2033","6","21","1","7","3","1572448044","1572447902","192","[5,2,4]","22"
"224","2027","6","21","1","3","2","1572448043","1572447902","192","[9,7,5,6,2,1]","7.5"
