"id","session","grp","match_id","id_unique","name","time_start","time_ready","period_time","started","round","age","gender","major","education","country_origin","ethnic","native","religion","nb_rounds","grp_size","session_size","duration","min_duration","max_duration","ready","endowment","crate","crate_sp","sufee","scroll","refresh_time","v","k","r","earnings_game","q1","q2","q3","order_slider","nb_pay_social","nb_slider","social_pay_own","social_pay_other","nb_pay_risk","risk","risk_pay","nb_comp","comp_1","comp_2","comp_3","comp_4","comp_5","comp_6","correct_comp","B5","final_pay"
"2029","21","3","3","147.156.150.20","l37","1572443122",NULL,"30","100","7","19","0","derecho","1","235","1","41","3","6","10","40","264,355,164,313,192,142","60","360",NULL,"80","20","50","5","4","2","10","8","3","162","no ser el mediador central de otro que sea mediador","la misma","siempre perdia como 60 puntos en los ultimos 2 segundos","5,1,3,2,4","1","6","27.2","38.4","1","0,0,1,1,1","2","5","6","1","4","7","4","8","1","2,4,3,1,2,4,2,3,1,4","15.8"
"2033","21","3","4","147.156.150.7","l11","1572443136",NULL,"30","100","7","18","1","International Business","4","203","0","41","0","6","10","40","264,355,164,313,192,142","60","360",NULL,"80","20","50","5","9","2","10","8","3","164.3","Saber las decisiones que toman las personas teniendo en cuenta que se pueden calcular mientras realizan cada elección el dinero que van a recibir.","Ir cambiando las conexiones para ver con cuales tenías más puntos e ir desconectandote cuando quedaba poco tiempo para conseguir más puntos, y si veías que tenías muchos puntos no tocar nada",,"3,2,5,1,4","3","6","31.8","28.2","4","0,0,0,1,1","3.85","5","2","1","3","2","4","8","1","3,3,2,3,3,3,1,3,1,3","17.9"
"2014","21","3","5","147.156.150.26","l41","1572443078",NULL,"30","100","7","18","1",,"4","203","0","41","1","6","10","40","264,355,164,313,192,142","60","360",NULL,"80","20","50","5","5","2","10","8","3","161.3","conectarme a varios enlaces, a poder ser que estuvieran mas cerca d mi","conectarse al enlace que mas puntos tuviese",,"2,5,1,3,4","5","6","88.8","10.4","4","0,0,1,1,1","3.85","5","5","1","0","5","5","1","5","3,4,3,3,4,3,1,1,3,4","19.3"
"2022","21","3","6","147.156.150.30","l46","1572443101",NULL,"30","100","7","19","1","Enfermeria","4","203","0","41","4","6","10","40","264,355,164,313,192,142","60","360",NULL,"80","20","50","5","4","2","10","8","3","170.4","Llegar a los máximos puntos posibles","La misma",,"1,5,3,2,4","2","6","33.2","27.2","2","0,0,0,1,1","1.6","5","1","1","2","3","2","2","1","4,1,2,0,0,3,1,4,3,2","16"
"2003","21","3","7","147.156.150.48","l63","1572443042",NULL,"30","100","7","20","1","Comunicacion Audiovisual","4","203","0","41","3","6","10","40","264,355,164,313,192,142","60","360",NULL,"80","20","50","5","2","2","10","8","3","179.2","Actuar como sujeto pasivo","Clicar al tuntun",,"2,4,3,5,1","5","6","120","0","2","0,0,0,1,1","2","5","5","1","0","5","4","7","3","1,4,3,0,0,3,1,0,4,4","18.7"
"2024","21","3","8","147.156.150.38","l47","1572443104",NULL,"30","100","7","22","1","Derecho y ade","4","203","0","41","1","6","10","40","264,355,164,313,192,142","60","360",NULL,"80","20","50","5","2","2","10","8","3","178.9","Crear relaciones","No lo sé",,"3,5,2,4,1","2","6","25.6","57.6","4","0,0,0,1,1","0.1","5","5","1","1","1","9","8","3","2,4,2,0,3,3,1,3,3,1","15"
"2031","21","3","9","147.156.150.18","l24","1572443130",NULL,"30","100","7","21","1",,"4","203","0","41","4","6","10","40","264,355,164,313,192,142","60","360",NULL,"80","20","50","5","5","2","10","8","3","195.5","Intentar realizar los movimientos de modo rápido pero esperando a que el resto me aceptara o denegara la unión.","La misma que la mía supongo.","La suma de las uniones debería ser un poco más clara ya que durante el experimento es imposible parar a comprobar la hoja de explicación del mismo.","4,2,1,3,5","2","6","36.4","14.4","3","0,0,1,1,1","3.85","5","5","1","1","8","3","9","3","1,4,3,3,0,3,0,2,1,3","19.7"
"2006","21","3","10","147.156.150.44","l64","1572443049",NULL,"30","100","7","19","0",,"4","203","0","41","4","6","10","40","264,355,164,313,192,142","60","360",NULL,"80","20","50","5","8","2","10","8","3","183.1","al principio unirme únicamente a una persona, y después que se unieran todos a mi","unirse al que más conexiones tenía","gracias","5,3,1,4,2","2","6","14.8","100.8","5","0,0,0,1,1","3.85","5","5","1","1","1","5","8","4","1,3,3,2,3,4,1,3,2,3","18.8"
"2026","21","4","1","147.156.150.15","l21","1572443115",NULL,"30","100","7","18","0","derecho","4","203","0","41","4","6","10","40","264,355,164,313,192,142","60","360",NULL,"80","20","50","5","5","2","10","8","3","280.4","Intentar establecer bastantes conexiones en un principio y posteriormente aferrar las que tenía y aceptar alguna nueva","Mandar bastantes solicitudes al principio y seguir mandando algo más moderados después",,"4,1,3,2,5","1","6","28.8","33.6","4","0,1,1,1,1","3.85","5","5","1","1","5","5","1","6","0,4,1,1,4,4,0,2,1,4","24.2"
"2007","21","4","2","147.156.150.41","l54","1572443051",NULL,"30","100","7","22","1","Arte y diseño","5","203","0","41","0","6","10","40","264,355,164,313,192,142","60","360",NULL,"80","20","50","5","7","2","10","8","3","168.7","Tratar de mantenerme conectada siempre entre varios participantes y no en los extremos.","Ganar lo máximo posible.","Había momentos que no entendía muy bien como funcionaba el experimento y me movía un poco al azar.","4,2,3,5,1","3","6","34.8","25.2","2","0,0,0,0,1","1.6","5","5","1","1","8","4","8","3","3,4,2,2,0,3,1,3,1,3","16.1"
"2001","21","4","3","147.156.150.50","l61","1572442999",NULL,"30","100","7","18","0","Doble grado en ingeniería de telecomunicación y ADE","4","203","0","41","0","6","10","40","264,355,164,313,192,142","60","360",NULL,"80","20","50","5","1","2","10","8","3","193.9","Realizar el máximo número de enlaces y posibles y actuar en cuanto a la actuación de mis enlaces","realizar la mayor cantidad de enlaces",,"4,3,5,1,2","1","6","6.8","99.6","3","0,0,1,1,1","3.85","5","2","1","1","1","4","1","3","0,4,3,4,3,4,1,2,2,4","19"
"2011","21","4","4","147.156.150.43","l56","1572443064",NULL,"30","100","7","19","0","Sociales","4","203","0","42","1","6","10","40","264,355,164,313,192,142","60","360",NULL,"80","20","50","5","5","2","10","8","3","185.5","Tratar de estar en el centro de la red","Asegurarse estar conectado con el que les proporcionaba un beneficio seguro",,"3,2,1,5,4","2","6","14.8","100.8","1","0,0,0,0,1","1.6","5","3","1","1","5","4","1","4","1,4,1,4,3,4,2,3,1,3","16.6"
"2038","21","4","5","147.156.150.10","l14","1572443154",NULL,"30","100","7","19","0","Economía","4","203","0","41","3","6","10","40","264,355,164,313,192,142","60","360",NULL,"80","20","50","5","3","2","10","8","3","151.6","Intentar conectarme con el pez gordo de la red y a veces crear vínculos con todas las personas que pueda.","Sinceramente no lo sé, pero creo que parecida a la mía.","Me voy a comer.","4,2,3,1,5","4","6","45.6","28.8","3","0,0,0,1,1","1.6","5","6","1","1","5","5","1","5","3,4,2,4,1,4,0,2,3,4","15.7"
"2021","21","4","6","147.156.150.34","l33","1572443098",NULL,"30","100","7","19","1","Grado en Enfermeria","4","203","0","41","4","6","10","40","264,355,164,313,192,142","60","360",NULL,"80","20","50","5","9","2","10","8","3","148.9","Realizar pocas conexiones con otros participantes para tener menos costes","Unirse a quien más puntos tenía",,"5,2,4,3,1","2","6","32.8","28.8","5","0,0,0,0,1","3.85","5","5","1","1","1","4","1","4","1,3,1,1,1,3,2,4,2,3","17.5"
"2013","21","4","7","147.156.150.54","l67","1572443070",NULL,"30","100","7","19","0","Ciencias Políticas","4","203","0","41","4","6","10","40","264,355,164,313,192,142","60","360",NULL,"80","20","50","5","3","2","10","8","3","212.4","Conectarme al nodo con mayor puntuación e intentar que otros nodos se conectasen a mi ","Conectarse con el máximo numero de nodos usando el menor numero de enlaces","La estrategia para ganar todos es hacer un círculo sin nadie conectado de otra forma","5,3,2,1,4","4","6","45","30","5","0,0,0,0,1","3.85","5","5","1","1","5","4","1","5","3,4,3,3,2,3,1,2,3,3","21"
"2012","21","4","8","147.156.150.46","l57","1572443068",NULL,"30","100","7","18","0","Ingeniería","4","203","0","41","3","6","10","40","264,355,164,313,192,142","60","360",NULL,"80","20","50","5","1","2","10","8","3","185","Conseguir enlaces pasivos, sin pagar demasiados costes","Conseguir ser el del medio o no relacionarse para no pagar costes","Siempre toca sobre los 20 macho, ya es mala suerte","5,2,3,4,1","2","6","21.6","73.6","2","0,0,1,1,1","1.6","5","5","1","1","5","5","1","6","4,4,1,3,4,3,3,4,0,2","17"
"2025","21","4","9","147.156.150.29","l35","1572443110",NULL,"30","100","7","19","1",,"4","203","0","41","0","6","10","40","264,355,164,313,192,142","60","360",NULL,"80","20","50","5","3","2","10","8","3","178.3","intentar hacerlo bien","ganar",,"4,1,5,3,2","2","6","40","0","5","0,0,0,0,0","2","5","4","3","2","9","5","1","2","1,3,4,1,1,4,1,1,3,2","17"
"2023","21","4","10","147.156.150.22","l34","1572443103",NULL,"30","100","7","19","1","Económicas","4","203","0","41","1","6","10","40","264,355,164,313,192,142","60","360",NULL,"80","20","50","5","7","2","10","8","3","163.3","Intentar perder el mínimo de puntos al formar conexiones.","Crear conexiones con la mayoría de participantes.","La explicación puede llegar a confundir, pero los ejemplos ayudan bastante.","4,5,3,2,1","2","6","32","32","1","0,0,1,1,1","1.6","5","5","1","0","5","5","1","5","1,3,3,0,1,4,3,1,4,3","16"
