"id","session","grp","match_id","id_unique","name","time_start","time_ready","period_time","started","round","age","gender","major","education","country_origin","ethnic","native","religion","nb_rounds","grp_size","session_size","duration","min_duration","max_duration","ready","endowment","crate","crate_sp","sufee","scroll","refresh_time","v","k","earnings_game","q1","q2","q3","order_slider","nb_pay_social","nb_slider","social_pay_own","social_pay_other","nb_pay_risk","risk","risk_pay","nb_comp","comp_1","comp_2","comp_3","comp_4","comp_5","comp_6","comp_7","comp_8","correct_comp","B5","final_pay"
"676","7","1","37","147.156.150.24","l44","1562580178",NULL,"30","100","7","34","1",,"2","203","0","41","0","6","100","100","241,229,264,102,179,352","60","360",NULL,"800","220","50","5","7","2","10","80","2064.5","Ensayo y error","Ni idea",,"4,1,2,5,3","3","6","60","0","5","0,1,1,1,1","0.1","5","5","6","1","3","68","37",NULL,NULL,"4","2,3,3,1,3,3,1,2,3,3","16.1"
"626","7","1","38","150.128.49.2","c26","1562579994",NULL,"30","100","7","58","0",,"1","203","0","41","3","6","100","100","241,229,264,102,179,352","60","360",NULL,"800","220","50","5","6","2","10","80","2379.4","estar en verde","ni idea","no","2,1,5,4,3","1","6","29.6","31.2","2","0,0,0,0,1","1.6","5","1","4","0","1","1","1",NULL,NULL,"2","3,3,1,3,2,2,1,2,1,3","18.3"
"671","7","1","39","147.156.150.36","l42","1562580174",NULL,"30","100","7","21","1","Psicología","4","203","0","41","0","6","100","100","241,229,264,102,179,352","60","360",NULL,"800","220","50","5","1","2","10","80","1980.3","Conectarme con pocos participantes e intentar ser particiantes critico en las conexiones entre otros participantes","la misma",,"4,2,1,5,3","5","6","30","30","2","0,0,0,1,1","1.6","5","5","6","3","72","69","37",NULL,NULL,"3","1,3,2,0,4,3,1,2,4,1","16.6"
"609","7","1","40","150.128.49.2","c19","1562579754",NULL,"30","100","7","21","1","psicologia","4","203","0","41","0","6","100","100","241,229,264,102,179,352","60","360",NULL,"800","220","50","5","3","2","10","80","1908.4","dejar que los demás jugadores me se convirtiesen en triangulo, aceptarlos y observar cuales me hacían ganar más beneficios","La misma o conectarse a muchos mas jugadores",,"4,3,1,5,2","4","6","49.8","20.4","2","0,0,0,0,0","1.6","5","6","6","1","3","68","37",NULL,NULL,"3","1,4,4,0,4,3,3,0,4,0","16.6"
"638","7","1","41","147.156.150.111","c43","1562580031",NULL,"30","100","7","19","1",,"8","203","0","41","0","6","100","100","241,229,264,102,179,352","60","360",NULL,"800","220","50","5","4","2","10","80","-340","Beneficiarme a mí y a los otros participantes por igual.","Ganar el máximo beneficio posible.",,"3,1,2,4,5","4","6","40.2","39.6","3","0,0,1,1,1","3.85","5","4","2","0","88","56","1",NULL,NULL,"0","4,4,1,1,0,4,0,4,4,4","9.7"
"698","7","1","42","147.156.150.11","l15","1562580208",NULL,"30","100","7","22","0","electrónica","4","203","0","41","1","6","100","100","241,229,264,102,179,352","60","360",NULL,"800","220","50","5","8","2","10","80","2384.4","mantener 2 enlaces para asegurar +300 de media","acumular muchos enlaces",,"1,5,3,4,2","2","6","0","160","3","0,0,0,0,0","2","5","6","6","1","3","69","37",NULL,NULL,"3","3,3,3,3,1,2,0,2,1,3","18.2"
"679","7","1","43","147.156.150.34","l33","1562580180",NULL,"30","100","7","19","1",,"4","203","0","41","1","6","100","100","241,229,264,102,179,352","60","360",NULL,"800","220","50","5","9","2","10","80","2063.9","mi estrategia general en este experimento es que todos los participantes nos ayudemos unos a otros para poder conseguir una retribución.","creo que la estrategia de los otros participantes es también ayudarnos a hacer enlaces y que todos tengamos puntos positivos para poder sumar. ",,"3,1,5,2,4","1","6","30","30","5","0,0,0,0,0","2","5","5","4","1","1","1","37",NULL,NULL,"5","3,3,3,1,2,3,0,2,1,3","17.5"
"637","7","1","44","150.128.49.2","c42","1562580023",NULL,"30","100","7","26","1","Psicología","5","203","0","41","0","6","100","100","241,229,264,102,179,352","60","360",NULL,"800","220","50","5","1","2","10","80","2459","Mantenerme parada cuando mi puntuación es elevada","intentar realizar conexiones continuamente",,"5,1,3,2,4","3","6","40.2","19.8","3","0,0,0,0,1","2","5","5","6","1","1","36","37",NULL,NULL,"5","1,4,2,4,1,3,1,1,1,4","19.6"
"620","7","1","45","150.128.49.2","c14","1562579959",NULL,"30","100","7","20","0","Ingeniería","4","203","2","41","1","6","100","100","241,229,264,102,179,352","60","360",NULL,"800","220","50","5","2","2","10","80","2654.7","Utilizar solamente dos o tres conexiones e ir por los bordes.","Conectarse y desconectarse en función de los beneficios que tenían.",,"4,2,1,5,3","3","6","60","0","3","0,0,1,1,1","0.1","5","5","6","1","3","69","37",NULL,NULL,"4","2,3,1,3,2,3,1,3,1,3","18.8"
"622","7","1","46","150.128.49.2","c23","1562579977",NULL,"30","100","7","24","1",,"4","203","0","41","12","6","100","100","241,229,264,102,179,352","60","360",NULL,"800","220","50","5","1","2","10","80","1945.9","Juntarse con las bolas que más beneficios aportaban","La misma",,"2,1,3,4,5","4","6","40.2","39.6","4","0,1,1,1,1","3.85","5","5","6","0","3","1","85",NULL,NULL,"3","2,4,3,0,1,3,0,3,4,2","18.9"
