"id","id_subj","round","session","period","id_grp","grp","time","time_start","duration","links","payoff"
"101","1836","3","19","1","9","1","1572430542","1572430307","291","[4,8,10]","38.9"
"102","1832","3","19","1","4","4","1572430536","1572430307","291","[9,5,6]","23.2"
"103","1810","3","19","1","6","1","1572430543","1572430307","291","[4]","22"
"104","1819","3","19","1","6","2","1572430517","1572430307","291","[7,8,4,9,5,1,3]","72.1"
"105","1831","3","19","1","7","4","1572430539","1572430307","291","[5,8]","23.2"
"106","1834","3","19","1","10","3","1572430539","1572430307","291","[7,3,4,6,9,1,5,8,2]","16.9"
"107","1817","3","19","1","1","4","1572430527","1572430307","291","[8,5,2]","23.2"
"108","1815","3","19","1","3","2","1572430541","1572430307","291","[6,10,5]","17.4"
"109","1801","3","19","1","1","1","1572430542","1572430307","291","[5,3]","17.4"
"110","1824","3","19","1","4","1","1572430522","1572430307","291","[1,10,2,6,9,7,3,5]","60.4"
"111","1825","3","19","1","10","2","1572430542","1572430307","291","[3,7]","17.4"
"112","1839","3","19","1","8","1","1572430541","1572430307","291","[1,9]","20.7"
"113","1804","3","19","1","9","4","1572430535","1572430307","291","[2,4,7]","23.2"
"114","1835","3","19","1","6","3","1572430539","1572430307","291","[8,1]","17.9"
"115","1820","3","19","1","4","2","1572430543","1572430307","291","[10,8,9]","18.7"
"116","1821","3","19","1","5","1","1572430542","1572430307","291","[1,4]","36.9"
"117","1807","3","19","1","3","1","1572430526","1572430307","291","[8,7,2,5]","21.5"
"118","1829","3","19","1","2","3","1572430536","1572430307","291","[5,1,9,4,6]","24.9"
"119","1812","3","19","1","7","1","1572430540","1572430307","291","[4,3]","21.5"
"120","1823","3","19","1","3","4","1572430532","1572430307","291","[2]","22.9"
"121","1809","4","19","1","7","4","1572430784","1572430705","236","[1,10,3,4,8,9]","9.7"
"122","1814","4","19","1","7","3","1572430839","1572430705","236","[9,3,4,6]","19.4"
"123","1836","4","19","1","1","1","1572430843","1572430705","236","[8,6]","29"
"124","1837","4","19","1","9","4","1572430840","1572430705","236","[2]","22.9"
"125","1834","4","19","1","5","3","1572430844","1572430705","236","[4,1]","27.4"
"126","1818","4","19","1","6","2","1572430840","1572430705","236","[4,2,10]","25.7"
"127","1822","4","19","1","8","3","1572430832","1572430705","236","[4,10,2]","27.4"
"128","1840","4","19","1","10","3","1572430844","1572430705","236","[2,9,5]","23.7"
"129","1805","4","19","1","3","1","1572430840","1572430705","236","[7,10,1,6]","29"
"130","1831","4","19","1","1","4","1572430842","1572430705","236","[9,8,3,4,7]","9.7"
"131","1816","4","19","1","3","3","1572430844","1572430705","236","[10,9,4,1,2]","19.4"
"132","1829","4","19","1","6","3","1572430843","1572430705","236","[10,4,7,9]","27.4"
"133","1804","4","19","1","5","4","1572430828","1572430705","236","[4,6]","22.9"
"134","1808","4","19","1","10","2","1572430838","1572430705","236","[2,3,6,9,4,7,1]","45.2"
"135","1824","4","19","1","2","1","1572430836","1572430705","236","[8,1,5,10]","29"
"136","1817","4","19","1","10","4","1572430822","1572430705","236","[7,2]","25.7"
"137","1801","4","19","1","6","1","1572430844","1572430705","236","[7,3,1,8,10]","5"
"138","1813","4","19","1","4","4","1572430844","1572430705","236","[1,9,7]","25.7"
"139","1803","4","19","1","1","3","1572430797","1572430705","236","[3,2,6,9,5,7,4]","11.4"
"140","1833","4","19","1","3","2","1572430841","1572430705","236","[10]","22.9"
"141","1819","4","19","1","7","2","1572430832","1572430705","236","[4,8,2,6]","25.7"
"142","1806","4","19","1","2","4","1572430829","1572430705","236","[1,9,8,10]","45.2"
"143","1802","4","19","1","10","1","1572430843","1572430705","236","[6,4,7]","29"
"144","1827","4","19","1","5","2","1572430844","1572430705","236","[9,1,2,6]","22.9"
"145","1832","4","19","1","8","4","1572430841","1572430705","236","[4,2,6,1]","17.7"
"146","1839","4","19","1","9","1","1572430831","1572430705","236","[10,5,4,3,6]","29"
"147","1811","4","19","1","6","4","1572430830","1572430705","236","[10,7,4,3,8,2,5,9,1]","45.2"
"148","1815","4","19","1","1","2","1572430843","1572430705","236","[8,2,4,3,9,6]","25.7"
"149","1830","4","19","1","9","2","1572430837","1572430705","236","[4,5,10]","45.2"
"150","1812","4","19","1","8","1","1572430843","1572430705","236","[10,1,6,2,5,4]","13"
"151","1807","4","19","1","5","1","1572430842","1572430705","236","[9,2,3]","29"
"152","1825","4","19","1","4","2","1572430843","1572430705","236","[1,9,2,8]","17.7"
"153","1820","4","19","1","2","2","1572430836","1572430705","236","[7,6]","25.7"
"154","1810","4","19","1","7","1","1572430842","1572430705","236","[5,4,6,3]","21"
"155","1828","4","19","1","8","2","1572430835","1572430705","236","[3,5,4,7,6,1]","17.7"
"156","1838","4","19","1","2","3","1572430843","1572430705","236","[1,8,3]","19.4"
"157","1835","4","19","1","4","3","1572430839","1572430705","236","[10,5,2,8,7]","19.4"
"158","1821","4","19","1","4","1","1572430840","1572430705","236","[3,9,10,2,1,7,8]","13"
"159","1823","4","19","1","3","4","1572430843","1572430705","236","[6,1,4,7]","17.7"
"160","1826","4","19","1","9","3","1572430810","1572430705","236","[1,6,3,7,10,4]","31.7"
"161","1838","5","19","1","7","3","1572431107","1572431094","139","[9,3,6,1,2,8,10,4]","5"
"162","1820","5","19","1","2","2","1572431291","1572431094","139","[9,5,3]","27.4"
"163","1829","5","19","1","5","3","1572431298","1572431094","139","[4,9,7,3,10]","29"
"164","1805","5","19","1","3","1","1572431292","1572431094","139","[5,7,9,10,4]","17.9"
"165","1803","5","19","1","4","3","1572431299","1572431094","139","[9,10,5]","29"
"166","1834","5","19","1","1","3","1572431268","1572431094","139","[2,8,7,9]","21"
"167","1808","5","19","1","8","2","1572431295","1572431094","139","[10,5,6]","23.7"
"168","1817","5","19","1","10","4","1572431297","1572431094","139","[8,1,6,4,9,7,5,2]","52.4"
"169","1825","5","19","1","3","2","1572431299","1572431094","139","[5,10,4,1,2,7]","11.4"
"170","1822","5","19","1","9","3","1572431285","1572431094","139","[1,7]","29"
"171","1835","5","19","1","2","3","1572431289","1572431094","139","[5,9,10,8,3]","21"
"172","1809","5","19","1","2","4","1572431299","1572431094","139","[3,8,9,6,5,10,1]","30.9"
"173","1840","5","19","1","3","3","1572431286","1572431094","139","[5,7,10,2,1]","21"
"174","1815","5","19","1","5","2","1572431297","1572431094","139","[6,7,8,4,1]","47.7"
"175","1812","5","19","1","10","1","1572431293","1572431094","139","[8,1,6]","24.9"
"176","1811","5","19","1","8","4","1572431293","1572431094","139","[3,2,9]","20.7"
"177","1807","5","19","1","9","1","1572431296","1572431094","139","[7,6,8]","24.9"
"178","1828","5","19","1","6","2","1572431299","1572431094","139","[10,7,9,5]","11.4"
"179","1806","5","19","1","9","4","1572431298","1572431094","139","[2,3,7,10]","13.6"
"180","1837","5","19","1","4","4","1572431285","1572431094","139","[3,10,9,1,7,6,5]","13.6"
"181","1836","5","19","1","7","1","1572431298","1572431094","139","[3,4]","38.2"
"182","1804","5","19","1","6","4","1572431299","1572431094","139","[8,10]","22"
"183","1831","5","19","1","5","4","1572431299","1572431094","139","[10,8,4]","21.5"
"184","1824","5","19","1","6","1","1572431296","1572431094","139","[9,1,4]","24.9"
"185","1802","5","19","1","5","1","1572431299","1572431094","139","[2,4,8]","16.9"
"186","1801","5","19","1","4","1","1572431299","1572431094","139","[5,9,1,10,8,2,7]","60.2"
"187","1814","5","19","1","6","3","1572431299","1572431094","139","[8,7]","29"
"188","1819","5","19","1","10","2","1572431299","1572431094","139","[3,5,6]","27.4"
"189","1810","5","19","1","2","1","1572431297","1572431094","139","[5,3,1,8]","24.9"
"190","1813","5","19","1","7","4","1572431299","1572431094","139","[8,1,6]","17.4"
"191","1833","5","19","1","9","2","1572431281","1572431094","139","[5,1,3,4,7,10,8,2,6]","11.4"
"192","1821","5","19","1","1","1","1572431299","1572431094","139","[3,9,2,5,10,6]","16.9"
"193","1839","5","19","1","8","1","1572431288","1572431094","139","[4,3,5,1,9,10]","8.9"
"194","1832","5","19","1","3","4","1572431299","1572431094","139","[4,2,6,9]","13.6"
"195","1818","5","19","1","7","2","1572431299","1572431094","139","[6,3,4]","19.4"
"196","1827","5","19","1","1","2","1572431294","1572431094","139","[9,5]","27.4"
"197","1826","5","19","1","10","3","1572431297","1572431094","139","[4,9,2]","29"
"198","1830","5","19","1","4","2","1572431274","1572431094","139","[7,10,9,3]","19.4"
"199","1816","5","19","1","8","3","1572431286","1572431094","139","[5,4,9,1,3,6,7,2,10]","13"
"200","1823","5","19","1","1","4","1572431296","1572431094","139","[6,7,10]","36.9"
"201","1825","6","19","1","10","2","1572431769","1572431477","205","[9,3,5]","45.2"
"202","1809","6","19","1","4","4","1572431712","1572431477","205","[9,8,6,1,10,3,7,2,5]","-7.1"
"203","1801","6","19","1","5","1","1572431759","1572431477","205","[8,1,10,9]","23.7"
"204","1803","6","19","1","4","3","1572431770","1572431477","205","[1,5]","24"
"205","1805","6","19","1","4","1","1572431770","1572431477","205","[3,6,9,10]","19.4"
"206","1837","6","19","1","1","4","1572431746","1572431477","205","[9,8,5,2,10,4]","24.9"
"207","1828","6","19","1","5","2","1572431771","1572431477","205","[1,3,6,9,10]","25.7"
"208","1804","6","19","1","3","4","1572431770","1572431477","205","[4,2,10]","24.9"
"209","1810","6","19","1","2","1","1572431769","1572431477","205","[7,6,3,1,4,9]","27.4"
"210","1802","6","19","1","7","1","1572431771","1572431477","205","[1,8,9,2]","11.4"
"211","1820","6","19","1","8","2","1572431767","1572431477","205","[7,2,9]","17.7"
"212","1808","6","19","1","2","2","1572431763","1572431477","205","[1,4,8]","45.2"
"213","1807","6","19","1","1","1","1572431773","1572431477","205","[3,7,10]","19.4"
"214","1838","6","19","1","1","3","1572431765","1572431477","205","[4,6,3,9,8,5]","8"
"215","1840","6","19","1","9","3","1572431771","1572431477","205","[6,1]","24"
"216","1829","6","19","1","2","3","1572431773","1572431477","205","[6,9,4,5]","24"
"217","1822","6","19","1","6","3","1572431768","1572431477","205","[4,9,2]","24"
"218","1812","6","19","1","10","1","1572431773","1572431477","205","[9,1,4,2]","19.4"
"219","1814","6","19","1","10","3","1572431771","1572431477","205","[7]","0"
"220","1806","6","19","1","7","4","1572431767","1572431477","205","[9,4,8]","24.9"
"221","1827","6","19","1","3","2","1572431769","1572431477","205","[6,1,4,2,10,9,8]","22.9"
"222","1813","6","19","1","5","4","1572431773","1572431477","205","[9,8,6,1,4]","16.9"
"223","1836","6","19","1","9","1","1572431773","1572431477","205","[1,7,10]","27.4"
"224","1831","6","19","1","6","4","1572431769","1572431477","205","[8,2]","38.2"
"225","1832","6","19","1","2","4","1572431770","1572431477","205","[5,9,4,10,6]","52.2"
"226","1839","6","19","1","8","1","1572431773","1572431477","205","[9,7,5,6,10,3]","39.7"
"227","1819","6","19","1","7","2","1572431714","1572431477","205","[3,4,1,9,5,10,8,6]","9.7"
"228","1817","6","19","1","9","4","1572431768","1572431477","205","[5,2,8,7]","16.9"
"229","1816","6","19","1","8","3","1572431770","1572431477","205","[9,3,6,2,4,7]","24"
"230","1824","6","19","1","6","1","1572431773","1572431477","205","[2,4,8,10]","19.4"
"231","1834","6","19","1","3","3","1572431773","1572431477","205","[1,8,2]","24"
"232","1833","6","19","1","4","2","1572431773","1572431477","205","[10,2,7]","25.7"
"233","1826","6","19","1","7","3","1572431772","1572431477","205","[8,9,5]","24"
"234","1821","6","19","1","3","1","1572431773","1572431477","205","[4,8,9,10,1]","19.4"
"235","1815","6","19","1","1","2","1572431694","1572431477","205","[2,4]","22.9"
"236","1811","6","19","1","8","4","1572431770","1572431477","205","[6]","17.9"
"237","1835","6","19","1","5","3","1572431483","1572431477","205","[7,10,8,9,2,4,1]","8"
"238","1818","6","19","1","6","2","1572431773","1572431477","205","[8,5,7,9]","25.7"
"239","1830","6","19","1","9","2","1572431768","1572431477","205","[8,4,10,2,7]","17.7"
"240","1823","6","19","1","10","4","1572431753","1572431477","205","[2,3,4,8]","16.9"
